Video ID,Uploader,Age,Category,Length,Views,Rate,Ratings,Comments
gFa1YMEJFag,sxephil,1135,Entertainment,270,101384,4.72,3407,2887
pSJ4hv28zaI,thecomputernerd01,1136,Comedy,216,458,4.8,133,2183
uHVEDq6RVXc,barelypolitical,1134,News & Politics,56,555203,4.7,3574,2117
K7Om0QZy-38,SouljaBoy,1134,Music,185,91293,3.19,1063,1132
DCAO6bZa31o,AssociatedPress,1134,News & Politics,45,108095,3.58,264,1069
BQCPK6SZKII,mrpregnant,1134,Comedy,72,52254,3.63,273,948
nKA7iTE3s6A,JamesNintendoNerd,1135,Comedy,37,69333,4.85,1440,850
acHkXqik_Bo,ilovetibet81,1134,News & Politics,407,20345,4.63,981,844
xeoBtoMrssQ,NoDookiePictures,1135,Science & Technology,76,766,4.71,7,768
1OF20VB_CMA,supermac18,1134,Comedy,120,19302,4.63,453,774
NXlhGWGeIxE,WHATTHEBUCKSHOW,1136,Entertainment,296,202,4.89,2750,841
hS62tY4pmqk,AustinHewittFilms,1135,Nonprofits & Activism,132,395,4.67,3,711
qLTs6jlbkjE,mistermashup,1134,Science & Technology,191,930502,3.05,496,691
dufwsCyDxX8,HouseGadgetCreator,1135,Science & Technology,63,1212,4.05,21,697
h_aiawC-9aM,bonk65,1134,Music,124,105517,4.8,593,669
yPEl2RV2CxE,spricket24,1135,People & Blogs,181,9843,4.77,639,598
qvU462M2nsk,SecretLivesOfWomen,1135,Entertainment,122,775311,2.15,2148,626
MhHfemP1GqU,panacea81,1135,People & Blogs,599,8198,4.93,283,559
QpX-kndqHnE,mgdrummond,1134,Music,230,78997,4.82,620,575
UVPELRRG-gY,JoJoBinxProductions,1134,Science & Technology,88,583,4,4,548
XLHmtAxyTvk,jigitz,1129,Science & Technology,66,286680,3.5,769,60324
Z1raKpEo3Wk,RubasWorld,1130,Entertainment,174,123715,3.36,199,29954
ygx0H0k8VVY,Joriahbling78,1129,Entertainment,48,222523,3.59,337,27826
YqgiKcRfnaY,camelcars,1134,Science & Technology,123,141344,3.39,464,29059
