Category,Length,Views,Rate
Entertainment,270,101384,4.72
Comedy,216,458,4.8
News & Politics,56,555203,4.7
Music,185,91293,3.19
News & Politics,45,108095,3.58
Comedy,72,52254,3.63
Comedy,37,69333,4.85
News & Politics,407,20345,4.63
Science & Technology,76,766,4.71
Comedy,120,19302,4.63
Entertainment,296,202,4.89
Nonprofits & Activism,132,395,4.67
Science & Technology,191,930502,3.05
Science & Technology,63,1212,4.05
Music,124,105517,4.8
People & Blogs,181,9843,4.77
Entertainment,122,775311,2.15
People & Blogs,599,8198,4.93
Music,230,78997,4.82
Science & Technology,88,583,4
Science & Technology,66,286680,3.5
Entertainment,174,123715,3.36
Entertainment,48,222523,3.59
Science & Technology,123,141344,3.39
Comedy,164,626755,4.7
Comedy,85,1011535,4.43
Comedy,509,473397,4.28
People & Blogs,77,109499,3.81
Entertainment,55,76701,4.14
Entertainment,649,425085,4.82
People & Blogs,597,390948,4.4
Howto & Style,429,91771,3.1
People & Blogs,308,1005312,4.7
News & Politics,72,35037,3
People & Blogs,34,499766,2.7
Science & Technology,180,79105,2.81
Comedy,175,881218,4.54
Comedy,86,517251,2.09
News & Politics,98,417912,4.59
Entertainment,110,223955,4.51
Entertainment,100,13210,3.27
Sports,117,43029,4.37
People & Blogs,553,576368,4.23
Comedy,85,131968,4.42
Autos & Vehicles,129,1501,2.33
Music,181,23116,4.89
Entertainment,157,945,5
Howto & Style,183,791436,4.78
Music,174,351495,4.46
Film & Animation,246,258,3.25
 UNA ,3490,37456,4.61
Science & Technology,58,16610,4.97
Education,540,86,0
People & Blogs,241,54912,4.95
News & Politics,136,601416,4.31
Film & Animation,235,150,5
People & Blogs,90,271,4.52
People & Blogs,153,1577,4.17
Entertainment,5,2107255,2.21
News & Politics,568,1145,4.67
News & Politics,582,719,4.56
News & Politics,588,667383,4.25
Film & Animation,57,772279,4.03
Music,260,1356,1
Comedy,155,1961692,4.17
People & Blogs,40,586,4.53
Comedy,105,415185,3.18
Music,78,88825,4.71
Comedy,21,695715,2.1
Music,24,611334,1.59
Entertainment,314,138964,4.18
Sports,203,127335,2.3
Music,227,126413,4.04
Sports,125,109036,4.62
Sports,69,88533,4.66
Entertainment,219,83528,2.84
Comedy,81,70518,3.62
Sports,136,70291,4.78
Music,198,66523,4.76
News & Politics,116,1589110,4.74
Music,560,881068,3.71
News & Politics,200,804987,3.88
Nonprofits & Activism,204,778987,3.98
Film & Animation,439,502412,4.02
Entertainment,226,500598,4.39
People & Blogs,1291,452068,3.23
 UNA ,220,42087,4.88
Entertainment,328,25424,4.61
Comedy,128,51445,4.93
Music,376,54312,4.67
Entertainment,348,3643,4.87
Entertainment,596,11690,4.77
Entertainment,348,1950,4.96
Entertainment,417,7087,4.88
Entertainment,307,1320,4.97
Music,336,5015,4.81
Entertainment,347,1548,4.76
Music,435,120718,4.9
Music,418,96501,4.89
Comedy,51,222000,4.67
Music,205,340547,3.37
Pets & Animals,35,337534,4.63
News & Politics,298,56538,4.85
Comedy,108,195702,4.28
Comedy,103,272440,4.43
Entertainment,161,132136,4.7
Entertainment,51,86355,4.63
People & Blogs,505,9759,4.89
Entertainment,218,33201,4.72
People & Blogs,285,13955,4.58
News & Politics,240,21749,4.84
Comedy,169,4140,4.67
News & Politics,158,8407,4.74
People & Blogs,568,1139,4.81
Entertainment,304,3147,4.85
Comedy,20,3461,4.83
Comedy,572,103753,4.77
News & Politics,386,93312,4.91
News & Politics,85,318309,4.86
Travel & Events,248,326599,4.74
People & Blogs,88,221387,4.71
Entertainment,312,209086,4.59
Entertainment,209,176161,4.81
News & Politics,63,422227,4.49
Entertainment,487,67544,4.66
Entertainment,319,22931,4.84
Music,171,204,3.36
Film & Animation,334,520495,3.86
Nonprofits & Activism,166,373396,4.32
Music,268,338454,4.14
Howto & Style,237,515792,4.41
Music,211,378542,3.61
News & Politics,300,262728,4.58
People & Blogs,255,335816,4.56
Music,165,261083,4.04
Film & Animation,73,333158,4.09
