Length,Views,Rate
270,101384,4.72
216,458,4.8
56,555203,4.7
185,91293,3.19
45,108095,3.58
72,52254,3.63
37,69333,4.85
407,20345,4.63
76,766,4.71
120,19302,4.63
296,202,4.89
132,395,4.67
191,930502,3.05
63,1212,4.05
124,105517,4.8
181,9843,4.77
122,775311,2.15
599,8198,4.93
230,78997,4.82
88,583,4
66,286680,3.5
174,123715,3.36
48,222523,3.59
123,141344,3.39
164,626755,4.7
85,1011535,4.43
509,473397,4.28
77,109499,3.81
55,76701,4.14
649,425085,4.82
597,390948,4.4
429,91771,3.1
308,1005312,4.7
72,35037,3
34,499766,2.7
180,79105,2.81
175,881218,4.54
86,517251,2.09
98,417912,4.59
110,223955,4.51
100,13210,3.27
117,43029,4.37
553,576368,4.23
85,131968,4.42
129,1501,2.33
181,23116,4.89
157,945,5
183,791436,4.78
174,351495,4.46
246,258,3.25
3490,37456,4.61
58,16610,4.97
540,86,0
241,54912,4.95
136,601416,4.31
235,150,5
90,271,4.52
153,1577,4.17
5,2107255,2.21
568,1145,4.67
582,719,4.56
588,667383,4.25
57,772279,4.03
260,1356,1
155,1961692,4.17
40,586,4.53
105,415185,3.18
78,88825,4.71
21,695715,2.1
24,611334,1.59
314,138964,4.18
203,127335,2.3
227,126413,4.04
125,109036,4.62
69,88533,4.66
219,83528,2.84
81,70518,3.62
136,70291,4.78
198,66523,4.76
116,1589110,4.74
560,881068,3.71
200,804987,3.88
204,778987,3.98
439,502412,4.02
226,500598,4.39
1291,452068,3.23
220,42087,4.88
328,25424,4.61
128,51445,4.93
376,54312,4.67
348,3643,4.87
596,11690,4.77
348,1950,4.96
417,7087,4.88
307,1320,4.97
336,5015,4.81
347,1548,4.76
435,120718,4.9
418,96501,4.89
51,222000,4.67
205,340547,3.37
35,337534,4.63
298,56538,4.85
108,195702,4.28
103,272440,4.43
161,132136,4.7
51,86355,4.63
505,9759,4.89
218,33201,4.72
285,13955,4.58
240,21749,4.84
169,4140,4.67
158,8407,4.74
568,1139,4.81
304,3147,4.85
20,3461,4.83
572,103753,4.77
386,93312,4.91
85,318309,4.86
248,326599,4.74
88,221387,4.71
312,209086,4.59
209,176161,4.81
63,422227,4.49
487,67544,4.66
319,22931,4.84
171,204,3.36
334,520495,3.86
166,373396,4.32
268,338454,4.14
237,515792,4.41
211,378542,3.61
300,262728,4.58
255,335816,4.56
165,261083,4.04
73,333158,4.09
148,2700217,4.32
188,277533,4.49
53,211176,4.58
266,598593,4.55
37,331916,4.87
128,26343,4.59
298,196472,4.67
229,126223,3.9
279,419664,4.75
88,28634,4.86
310,25124,4.31
15,73294,2.4
51,6268,4.9
123,426535,4.64
128,1098429,4.88
127,5850,4.69
58,137,0
17,120,0
79,110,0
16,77,0
56,97,0
233,62,0
261,63,0
30,70,0
146,0,0
31,16,0
26,106,1
25,3,0
31,2,0
233,3,0
207,3,0
231,0,0
30,0,0
30,0,0
42,0,0
7,0,0
20,0,0
112,0,0
63,0,0
60,0,0
53,0,0
377,0,0
162,0,0
9,0,0
514,5,5
331,0,0
333,0,0
324,15,5
19,4,5
68,0,0
77,3,0
166,1,0
41,0,0
239,3,0
103,1,0
200,0,0
61,0,0
197,4,0
187,0,0
141,4,0
151,0,0
323,0,0
62,3,0
45,0,0
49,0,0
171,0,0
197,0,0
128,0,0
240,0,0
73,1,0
40,7,0
216,0,0
15,1,0
187,0,0
12,2,0
43,1,0
65,74,5
181,0,0
46,0,0
15,0,0
60,7,0
39,0,0
221,0,0
513,0,0
203,0,0
79,0,0
14,2,0
4,0,0
78,0,0
223,0,0
526,0,0
220,12,4
263,0,0
115,92,1
578,1,0
37,16,3
199,2,0
29,0,0
199,0,0
361,0,0
166,0,0
238,0,0
57,0,0
600,0,0
29,0,0
616,54,0
5,0,0
36,0,0
71,0,0
210,0,0
63,0,0
252,0,0
24,0,0
34,0,0
78,5,0
4,0,0
284,141189,4.3
1206,123367,4.91
275,140875,4.55
62,81526,4.84
389,108391,4.84
36,75364,3.5
62,118564,2.56
281,8187,4.89
112,13374,4.89
84,43980,4.85
79,76898,4.72
82,25203,4.27
147,22925,4.46
245,18576,4.89
85,9429,4.92
201,98609,4.54
509,110516,4.89
79,15162,4.9
443,55780,2.38
510,69426,4.8
392,60193,4.42
112,36137,4.3
257,5892,4.78
106,4663,3.67
157,161132,4.5
225,101771,4.15
199,177154,4.18
185,121020,3.4
276,57730,2.51
279,1760,4.69
161,259,3
203,296778,4.04
112,272599,4.59
36,2032,4.72
18,579626,2.17
20,287405,1.42
239,292581,2.73
0,211664,2.1
91,143107,2.06
446,136893,4.41
77,111780,3.67
291,111668,4.46
105,103101,3.31
132,89249,4.73
656,101155,4.67
483,80865,4.94
105,935311,3.37
119,767574,4.41
132,566330,4.53
92,556254,2.39
238,73881,4.76
24,14904,4.86
38,757,4.14
43,503,2.31
58,631,4
66,653,4.73
244,41545,4.8
290,27155,4.68
431,75809,4.79
237,28735,4.45
575,27106,4.91
78,13110,4.86
556,62814,4.86
220,151021,4.9
247,129550,4.91
227,3698,4.79
130,8428,4.94
124,2087,4.95
246,7470,4.91
178,311293,4.77
324,180037,4.62
201,357420,4.67
600,20440,4.71
126,231907,4.36
405,8346,4.81
322,35312,4.62
161,17646,4.21
598,131350,5
273,11189,5
403,21277,4.86
118,55993,4.5
44,824771,4.27
32,223,0
43,220,0
165,201,5
591,205,0
72,204,0
101,220,1
88,210,1
42,241,0
15,248,0
7,201,1
11,50,0
32,52,0
26,29,0
272,92,3
168,26,0
76,14,0
231,9,0
349,1,0
12,0,0
56,1,0
197,0,0
275,0,0
216,2,0
186,19,0
200,3,0
10,0,0
57,0,0
103,0,0
39,9,0
7,11,0
46,0,0
135,1,0
98,7,0
20,15,0
294,4,0
220,0,0
81,237,5
83,0,0
294,0,0
17,0,0
96,0,0
242,6,0
6,10,0
25,20,0
194,1,0
238,3,0
166,11,0
10,1,0
14,3,0
151,9,0
12,0,0
265,9,0
109,0,0
377,0,0
145,0,0
24,0,0
28,7,0
15,0,0
199,0,0
106,6,0
40,9,0
84,0,0
33,4,0
43,2,0
189,0,0
96,18,0
24,0,0
100,5,0
234,6,0
235,4,4
38,0,0
5,0,0
13,0,0
109,4,0
53,9,0
71,3,0
20,15,0
35,1,0
114,7,0
73,11,0
201,0,0
17,209,1
68,18,0
29,0,0
94,0,0
270,2,0
350,0,0
228,24,0
244,0,0
152,1,0
140,0,0
60,30,0
120,0,0
51,0,0
71,0,0
48,3,0
165,9,0
99,0,0
213,0,0
97,0,0
86,46753,4.2
92,372407,4.64
390,111058,3.81
245,48928,4.17
600,76898,4.7
139,125783,4.71
168,144258,4.26
409,16472,4.87
72,819,4.27
81,214,4.67
30,38808,4.63
350,277772,4.2
301,72915,2.82
30,18565,4.44
71,1402,3.58
368,10101,4.65
157,219,5
211,9810,4.94
213,1393,5
151,70540,4.16
89,355806,4.68
131,203,5
56,1327,5
181,208,5
316,1980,4.82
27,1029,4.45
127,21467,4.12
216,360,4.2
189,98704,3.28
540,68,0
55,491955,4.62
161,218,4.81
51,159895,3.24
176,242280,4.45
201,211298,4.39
272,125316,3.72
1282,79662,4.5
80,72640,1.97
45,69271,4.9
117,65276,4.76
124,79273,4.53
38,60957,4.64
502,59741,4.84
205,58654,4.41
427,55719,4.8
217,35706,4.88
198,970,3.99
379,1783,4.64
211,1129,4.85
223,1514,4.98
250,2781,4.32
229,1042,3.99
309,1159,4.31
58,1054,4.36
66,843,4.2
43,878,2.17
600,7628,4.97
165,15065,4.57
38,379,4
43,376,4.97
212,141295,4.89
221,390095,4.7
210,154645,4.85
939,63885,4.89
72,34769,4.87
309,219,4.84
217,2911,4.86
97,13269,4.87
147,130064,3.56
54,900113,3.82
152,157598,3.48
455,1003068,4.77
30,166096,4.48
225,191975,4.1
115,193720,4.46
120,260373,4.85
32,159702,2.01
600,13344,4.33
51,31118,4.11
31,194881,4.55
23,230,1
587,222,0
53,206,0
138,258,0
9,203,0
62,244,0
252,233,1
265,207,0
119,217,4
657,206,4.88
184,97,0
73,49,0
256,42,0
95,75,0
61,64,0
150,0,0
60,0,0
71,253,3
89,0,0
61,6,0
311,0,0
23,0,0
32,0,0
180,0,0
57,0,0
38,2,0
166,0,0
281,0,0
116,0,0
112,0,0
30,0,0
175,2,0
37,138,0
57,0,0
31,0,0
157,0,0
16,0,0
30,0,0
176,0,0
188,21,0
166,6,0
499,0,0
189,0,0
174,0,0
31,4,0
524,0,0
169,4,0
70,2,0
601,0,0
102,0,0
49,0,0
181,0,0
16,0,0
77,2,0
62,0,0
28,0,0
103,35,0
9,0,0
92,0,0
225,7,0
204,1,0
148,0,0
194,0,0
273,0,0
1,0,0
156,3,5
128,2,5
127,0,0
23,4,0
31,0,0
305,0,0
31,0,0
236,0,0
78,0,0
133,0,0
178,0,0
28,0,0
23,59,0
44,19,0
37,0,0
54,0,0
23,5,0
56,0,0
198,0,0
238,0,0
70,0,0
110,0,0
13,0,0
24,0,0
57,0,0
123,0,0
209,0,0
230,0,0
40,0,0
318,0,0
209,2,0
216,1,0
9,10,0
161,2,0
238,0,0
281,768422,4.64
342,123734,4.12
98,71720,4.14
64,47585,2.22
241,20710,4.9
421,24132,4.39
167,101130,4.6
389,10964,4.69
354,1226,3.83
167,89972,4.33
307,70408,4.74
205,11696,4.54
317,433661,4.76
167,57129,4.66
132,730528,4.74
302,40498,4.13
62,592771,4.46
196,4721,4.32
286,246117,2.88
244,130783,4.64
116,61331,3.76
109,1481,5
91,499680,4.76
236,57006,4.97
188,428866,4.61
1327,3832,1.63
648,355740,4.67
134,360355,4.6
157,184,5
616,124021,4.52
273,179,1
204,243979,4.77
8,208,5
338,1897,4.86
46,403246,2.03
222,385867,4.65
200,222589,4.26
91,171995,4.84
61,162242,4.87
574,110253,4.4
131,102831,2.91
68,97511,4.82
87,92605,4.79
135,77263,4.59
113,75389,2.35
60,754136,4.86
253,586254,4.14
106,535407,3.52
601,514468,4.73
230,16528,4.83
115,15898,4.91
225,28700,4.84
38,1000,3.77
600,72500,4.75
167,50824,4.68
62,5472,4.9
245,214,4.86
320,4403,4.89
222,287456,4.78
189,6449,4.79
551,10177,4.93
95,58650,4.83
89,12270,4.88
185,9088,4.91
198,12625,4.88
600,3650,4.96
308,143652,4.57
154,101766,4.76
230,67766,4.58
145,62231,4.65
303,79125,4.52
166,48046,4.64
445,89090,4.76
42,19895,4.4
204,40381,3.7
591,27058,4.84
120,26855,4.64
93,78233,4.6
88,67057,4.75
614,103385,4.7
163,0,0
28,0,0
32,0,0
63,0,0
77,0,0
54,0,0
46,0,0
43,0,0
291,0,0
35,0,0
31,0,0
23,0,0
52,0,0
89,0,0
42,0,0
43,0,0
568,0,0
58,0,0
54,0,0
180,0,0
185,0,0
102,0,0
293,0,0
72,0,0
107,0,0
25,0,0
37,0,0
60,0,0
55,0,0
67,0,0
51,0,0
47,0,0
104,0,0
91,0,0
32,0,0
147,0,0
17,0,0
66,0,0
188,0,0
203,0,0
185,0,0
184,0,0
204,0,0
133,0,0
30,0,0
249,0,0
257,0,0
1,0,0
64,0,0
108,0,0
60,0,0
23,0,0
235,0,0
114,0,0
599,0,0
